trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.9975031223974601}",25,0,-191.81942275348268,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.25, 'e': 0.9950124791926823}",25,0,-92.77204292369579,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.9925280548191384}",25,0,-99.04748637059319,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.25, 'e': 0.9900498337491681}",35,0,-274.5443232697702,"{0: 20, 1: 2, 2: 5, 3: 4, 4: 4}",0
5,False,"{'a': 0.25, 'e': 0.9875778004938814}",30,0,-193.91884769488175,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.25, 'e': 0.9851119396030626}",25,0,-127.21241925887215,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.9826522356650732}",25,0,-149.4854047865872,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.25, 'e': 0.9801986733067553}",20,0,-102.11468907727047,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.25, 'e': 0.9777512371933363}",25,0,-150.08452719175622,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.25, 'e': 0.9753099120283326}",30,0,-182.45009066081786,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.972874682553454}",35,0,-232.73505777339375,"{0: 20, 1: 3, 2: 8, 3: 0, 4: 4}",0
12,False,"{'a': 0.25, 'e': 0.9704455335485082}",25,0,-85.67454940565351,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.25, 'e': 0.968022449831306}",20,0,-111.85072704571918,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.25, 'e': 0.9656054162575665}",25,0,-176.88836463723058,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.9631944177208218}",25,0,-133.54252693673774,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.9607894391523232}",20,8,-35.860874228845425,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.25, 'e': 0.958390465520947}",25,0,-27.248620717348302,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.25, 'e': 0.9559974818331}",20,0,-96.1221016370659,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.9536104731326264}",20,0,-105.85283292934336,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.25, 'e': 0.951229424500714}",20,0,-78.40796016736572,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",1
21,False,"{'a': 0.25, 'e': 0.9488543210558013}",20,0,-142.9869895626367,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
22,False,"{'a': 0.25, 'e': 0.9464851479534838}",30,0,-185.10698638578288,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
23,False,"{'a': 0.25, 'e': 0.9441218903864221}",25,0,-79.9144949163657,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.25, 'e': 0.9417645335842487}",25,0,-63.277235348666075,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.25, 'e': 0.9394130628134758}",30,0,-199.86545495309386,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
26,False,"{'a': 0.25, 'e': 0.9370674633774034}",20,6,-104.02910349927835,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
